airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
AI,AI-2747,DEL,Early_Morning,zero,Morning,CCU,Economy,2.25,36,5816.0
AI,AI-2727,DEL,Night,zero,Early_Morning,CCU,Economy,2.25,36,5816.0
AI,AI-463,DEL,Evening,zero,Evening,CCU,Economy,2.33,36,5816.0
AI,AI-762,DEL,Night,zero,Night,CCU,Economy,2.33,36,5816.0
AI,AI-2702,DEL,Early_Morning,zero,Early_Morning,CCU,Economy,2.25,36,6008.0
AI,AI-2403,DEL,Evening,zero,Evening,CCU,Economy,2.25,36,6008.0
AI,AI-2737,DEL,Afternoon,zero,Evening,CCU,Economy,2.33,36,6008.0
AI,AI-2705,DEL,Morning,zero,Morning,CCU,Economy,2.25,36,6131.0
AI,AI-401,DEL,Morning,zero,Morning,CCU,Economy,2.25,36,6425.0
AI,AI-764,DEL,Evening,zero,Evening,CCU,Economy,2.33,36,6845.0
AI,AI-2747,DEL,Early_Morning,zero,Morning,CCU,Economy,2.25,37,5816.0
AI,AI-2727,DEL,Night,zero,Early_Morning,CCU,Economy,2.25,37,5816.0
AI,AI-463,DEL,Evening,zero,Evening,CCU,Economy,2.33,37,5816.0
AI,AI-762,DEL,Night,zero,Night,CCU,Economy,2.33,37,5816.0
AI,AI-2702,DEL,Early_Morning,zero,Early_Morning,CCU,Economy,2.25,37,6008.0
AI,AI-401,DEL,Morning,zero,Morning,CCU,Economy,2.25,37,6131.0
AI,AI-2705,DEL,Morning,zero,Morning,CCU,Economy,2.25,37,6131.0
AI,AI-2403,DEL,Evening,zero,Evening,CCU,Economy,2.25,37,6335.0
AI,AI-2737,DEL,Afternoon,zero,Evening,CCU,Economy,2.33,37,6641.0
AI,AI-2767,DEL,Afternoon,zero,Afternoon,CCU,Economy,2.25,37,7078.0
AI,AI-2747,DEL,Early_Morning,zero,Morning,CCU,Economy,2.25,38,5816.0
AI,AI-2727,DEL,Night,zero,Early_Morning,CCU,Economy,2.25,38,5816.0
AI,AI-463,DEL,Evening,zero,Evening,CCU,Economy,2.33,38,5816.0
AI,AI-762,DEL,Night,zero,Night,CCU,Economy,2.33,38,5816.0
AI,AI-2702,DEL,Early_Morning,zero,Early_Morning,CCU,Economy,2.25,38,6008.0
AI,AI-2403,DEL,Evening,zero,Evening,CCU,Economy,2.25,38,6008.0
AI,AI-2737,DEL,Afternoon,zero,Evening,CCU,Economy,2.33,38,6008.0
AI,AI-401,DEL,Morning,zero,Morning,CCU,Economy,2.25,38,6131.0
AI,AI-2705,DEL,Morning,zero,Morning,CCU,Economy,2.25,38,6131.0
AI,AI-764,DEL,Evening,zero,Evening,CCU,Economy,2.33,38,6425.0
AI,AI-2747,DEL,Early_Morning,zero,Morning,CCU,Economy,2.25,39,5816.0
AI,AI-463,DEL,Evening,zero,Evening,CCU,Economy,2.33,39,5816.0
AI,AI-762,DEL,Night,zero,Night,CCU,Economy,2.33,39,5816.0
AI,AI-2727,DEL,Night,zero,Early_Morning,CCU,Economy,2.25,39,5959.0
AI,AI-2702,DEL,Early_Morning,zero,Early_Morning,CCU,Economy,2.25,39,6008.0
AI,AI-401,DEL,Morning,zero,Morning,CCU,Economy,2.25,39,6131.0
AI,AI-2403,DEL,Evening,zero,Evening,CCU,Economy,2.25,39,6335.0
AI,AI-2737,DEL,Afternoon,zero,Evening,CCU,Economy,2.33,39,6335.0
AI,AI-2705,DEL,Morning,zero,Morning,CCU,Economy,2.25,39,6425.0
AI,AI-2767,DEL,Afternoon,zero,Afternoon,CCU,Economy,2.25,39,6641.0
AI,AI-2747,DEL,Early_Morning,zero,Morning,CCU,Economy,2.25,40,6131.0
AI,AI-2727,DEL,Night,zero,Early_Morning,CCU,Economy,2.25,40,6131.0
AI,AI-463,DEL,Evening,zero,Evening,CCU,Economy,2.33,40,6131.0
AI,AI-762,DEL,Night,zero,Night,CCU,Economy,2.33,40,6131.0
AI,AI-2702,DEL,Early_Morning,zero,Early_Morning,CCU,Economy,2.25,40,6232.0
AI,AI-2403,DEL,Evening,zero,Evening,CCU,Economy,2.25,40,6641.0
AI,AI-401,DEL,Morning,zero,Morning,CCU,Economy,2.25,40,6845.0
AI,AI-2705,DEL,Morning,zero,Morning,CCU,Economy,2.25,40,6845.0
AI,AI-2737,DEL,Afternoon,zero,Evening,CCU,Economy,2.33,40,7078.0
AI,AI-764,DEL,Evening,zero,Evening,CCU,Economy,2.33,40,7473.0
AI,AI-2929,DEL,Night,zero,Night,AMD,Economy,1.67,0,5058.0
