search_date,search_time,departure_date,days_before_departure,origin,destination,departure_time,arrival_time,duration_minutes,stops,is_direct,connecting_airports,airline_codes,airline_name,flight_numbers,aircraft,origin_terminal,destination_terminal,min_price,max_price,price_range,num_fare_options,cabin_class,is_refundable,fare_type,checkin_baggage,cabin_baggage,seats_available
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T14:55:00,2025-08-31T16:25:00,90,0,True,,SG,Spicejet,3453,DH8,,,2049,3899,1850,5,Economy,True,Coupon,15 KG,7 KG,16
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T22:05:00,2025-09-01T11:30:00,805,1,False,CCU,IX,Air India Express,1954/1591,7M8/7M8,,,4166,16135,11969,4,Economy,True,SME.CrpCon,15KG,7 KG,9
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T19:20:00,2025-09-01T16:00:00,1240,1,False,DEL,AI,Air India,9510/851,737/321,,,11095,11395,300,2,Economy,True,Publish,15 KG,7 KG,4
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T12:55:00,2025-09-01T16:00:00,1625,1,False,DEL,AI,Air India,9508/851,737/321,,,11095,11395,300,2,Economy,True,Publish,15 KG,7 KG,4
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T17:05:00,2025-09-01T16:00:00,1375,1,False,DEL,AI,Air India,9506/851,320/321,,,11465,11649,184,2,Economy,True,Publish,15 KG,7 KG,4
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T07:35:00,2025-08-31T16:00:00,505,1,False,DEL,AI,Air India,9512/851,320/321,,,11465,11649,184,3,Economy,True,Publish,15 KG,7 KG,4
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T19:40:00,2025-09-01T16:00:00,1220,1,False,DEL,AI,Air India,890/851,32N/321,,,11816,12139,323,2,Economy,True,SME,15 KG,Included,1
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T19:40:00,2025-09-01T12:40:00,1020,1,False,DEL,AI,Air India,890/9650,32N/320,,,11840,12163,323,2,Economy,True,SME,15 KG,Included,1
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T19:40:00,2025-09-01T18:30:00,1370,1,False,DEL,AI,Air India,890/9648,32N/320,,,11840,12163,323,2,Economy,True,SME,15 KG,Included,1
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T15:40:00,2025-09-01T16:00:00,1460,1,False,DEL,AI,Air India,9516/851,737/321,,,11885,12061,176,2,Economy,True,Publish,15 KG,7 KG,4
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T19:40:00,2025-09-01T09:55:00,855,1,False,DEL,AI,Air India,890/9652,32N/320,,,12040,12363,323,2,Economy,True,SME,15 KG,Included,1
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T00:05:00,2025-08-31T16:00:00,955,1,False,DEL,AI,Air India,9514/851,737/321,,,12285,12453,168,2,Economy,True,Publish,15 KG,7 KG,4
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T17:05:00,2025-09-01T16:00:00,1375,2,False,"CCU,DEL",AI,Air India,9500/2703/851,320/32N/321,,,12583,13033,450,2,Economy,True,Publish,15 KG,Included,4
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T22:05:00,2025-09-01T16:00:00,1075,2,False,"CCU,DEL",AI,Air India,9504/2703/851,737/32N/321,,,12583,13033,450,2,Economy,True,Publish,15 KG,Included,4
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T15:25:00,2025-09-01T16:00:00,1475,2,False,"JAI,DEL",AI,Air India,9739/9732/851,737/320/321,,,13825,13965,140,2,Economy,True,Publish,15 KG,Included,4
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T19:40:00,2025-09-01T11:30:00,950,2,False,"DEL,CCU",AI,Air India,890/2535/9645,32N/32N/737,,,15195,15450,255,2,Economy,True,SME,15 KG,Included,1
2025-08-04,18:56:33,2025-08-31,27,GAU,IXB,2025-08-31T18:00:00,2025-09-01T16:00:00,1320,2,False,"PAT,DEL",AI,Air India,9551/896/851,737/319/321,,,15445,15861,416,2,Economy,True,SME,15 KG,Included,4
